file,category
spectrograms/classical/classical_15_1.pt,7
spectrograms/blues/blues_46_8.pt,2
spectrograms/jazz/jazz_4_8.pt,3
spectrograms/blues/blues_16_5.pt,2
spectrograms/rock/rock_87_1.pt,6
spectrograms/country/country_39_0.pt,4
spectrograms/metal/metal_77_8.pt,1
spectrograms/pop/pop_9_2.pt,8
spectrograms/metal/metal_86_0.pt,1
spectrograms/jazz/jazz_96_4.pt,3
spectrograms/blues/blues_37_0.pt,2
spectrograms/pop/pop_87_7.pt,8
spectrograms/blues/blues_59_6.pt,2
spectrograms/jazz/jazz_63_0.pt,3
spectrograms/jazz/jazz_43_9.pt,3
spectrograms/blues/blues_78_2.pt,2
spectrograms/metal/metal_40_8.pt,1
spectrograms/blues/blues_85_8.pt,2
spectrograms/jazz/jazz_72_5.pt,3
spectrograms/reggae/reggae_86_3.pt,9
spectrograms/reggae/reggae_32_8.pt,9
spectrograms/pop/pop_61_0.pt,8
spectrograms/disco/disco_8_7.pt,0
spectrograms/disco/disco_70_8.pt,0
spectrograms/reggae/reggae_33_4.pt,9
spectrograms/country/country_35_4.pt,4
spectrograms/classical/classical_86_1.pt,7
spectrograms/jazz/jazz_26_7.pt,3
spectrograms/pop/pop_0_3.pt,8
spectrograms/jazz/jazz_64_1.pt,3
spectrograms/jazz/jazz_94_7.pt,3
spectrograms/blues/blues_20_5.pt,2
spectrograms/classical/classical_90_8.pt,7
spectrograms/rock/rock_16_8.pt,6
spectrograms/rock/rock_49_7.pt,6
spectrograms/disco/disco_81_0.pt,0
spectrograms/blues/blues_36_9.pt,2
spectrograms/blues/blues_84_2.pt,2
spectrograms/reggae/reggae_94_0.pt,9
spectrograms/hiphop/hiphop_42_4.pt,5
spectrograms/jazz/jazz_36_3.pt,3
spectrograms/metal/metal_9_8.pt,1
spectrograms/metal/metal_80_4.pt,1
spectrograms/pop/pop_23_4.pt,8
spectrograms/classical/classical_64_7.pt,7
spectrograms/rock/rock_3_8.pt,6
spectrograms/rock/rock_28_0.pt,6
spectrograms/hiphop/hiphop_5_3.pt,5
spectrograms/metal/metal_18_8.pt,1
spectrograms/reggae/reggae_31_3.pt,9
spectrograms/jazz/jazz_84_3.pt,3
spectrograms/blues/blues_34_0.pt,2
spectrograms/jazz/jazz_66_4.pt,3
spectrograms/reggae/reggae_21_1.pt,9
spectrograms/reggae/reggae_35_5.pt,9
spectrograms/country/country_14_0.pt,4
spectrograms/classical/classical_74_2.pt,7
spectrograms/classical/classical_86_3.pt,7
spectrograms/blues/blues_76_7.pt,2
spectrograms/reggae/reggae_90_4.pt,9
spectrograms/jazz/jazz_3_4.pt,3
spectrograms/jazz/jazz_0_4.pt,3
spectrograms/country/country_15_0.pt,4
spectrograms/country/country_68_0.pt,4
spectrograms/pop/pop_63_8.pt,8
spectrograms/reggae/reggae_4_7.pt,9
spectrograms/reggae/reggae_66_1.pt,9
spectrograms/disco/disco_79_8.pt,0
spectrograms/metal/metal_97_0.pt,1
spectrograms/disco/disco_18_8.pt,0
spectrograms/blues/blues_94_0.pt,2
spectrograms/disco/disco_71_6.pt,0
spectrograms/classical/classical_24_7.pt,7
spectrograms/country/country_79_0.pt,4
spectrograms/pop/pop_75_4.pt,8
spectrograms/rock/rock_18_5.pt,6
spectrograms/rock/rock_84_3.pt,6
spectrograms/disco/disco_94_6.pt,0
spectrograms/metal/metal_82_3.pt,1
spectrograms/rock/rock_86_3.pt,6
spectrograms/pop/pop_44_6.pt,8
spectrograms/reggae/reggae_86_5.pt,9
spectrograms/country/country_49_6.pt,4
spectrograms/hiphop/hiphop_25_4.pt,5
spectrograms/blues/blues_54_0.pt,2
spectrograms/metal/metal_95_6.pt,1
spectrograms/country/country_70_1.pt,4
spectrograms/disco/disco_74_9.pt,0
spectrograms/blues/blues_98_4.pt,2
spectrograms/metal/metal_27_1.pt,1
spectrograms/reggae/reggae_77_8.pt,9
spectrograms/classical/classical_36_9.pt,7
spectrograms/jazz/jazz_17_6.pt,3
spectrograms/disco/disco_93_1.pt,0
spectrograms/reggae/reggae_33_9.pt,9
spectrograms/blues/blues_85_3.pt,2
spectrograms/rock/rock_32_1.pt,6
spectrograms/classical/classical_62_8.pt,7
spectrograms/blues/blues_47_6.pt,2
spectrograms/classical/classical_31_6.pt,7
spectrograms/jazz/jazz_25_0.pt,3
spectrograms/metal/metal_13_9.pt,1
spectrograms/hiphop/hiphop_25_5.pt,5
spectrograms/disco/disco_73_3.pt,0
spectrograms/country/country_2_2.pt,4
spectrograms/disco/disco_12_6.pt,0
spectrograms/country/country_28_4.pt,4
spectrograms/country/country_44_6.pt,4
spectrograms/pop/pop_63_7.pt,8
spectrograms/jazz/jazz_84_2.pt,3
spectrograms/pop/pop_17_3.pt,8
spectrograms/blues/blues_16_7.pt,2
spectrograms/rock/rock_38_2.pt,6
spectrograms/hiphop/hiphop_40_7.pt,5
spectrograms/reggae/reggae_97_9.pt,9
spectrograms/classical/classical_29_4.pt,7
spectrograms/reggae/reggae_91_3.pt,9
spectrograms/rock/rock_33_2.pt,6
spectrograms/blues/blues_35_0.pt,2
spectrograms/pop/pop_71_4.pt,8
spectrograms/hiphop/hiphop_8_4.pt,5
spectrograms/blues/blues_96_5.pt,2
